locationId,name,zone,type,latitude,longitude,sourceSlug
1,Balme Library,Academic District,Academic,5.6518,-0.1871,balme-library
2,Great Hall,Academic District,Academic,5.6507,-0.196,great-hall
3,College of Humanities,Academic District,Academic,5.6537,-0.1822,humanities
4,Computer Science Department,Academic District,Academic,5.6545,-0.1838,computer-science
5,Business School,Academic District,Academic,5.6587,-0.1777,business-school
6,Geography & Resource Development,Academic District,Academic,5.651,-0.1832,geography-dept
7,School of Law,Academic District,Academic,5.654,-0.1832,law-school
8,Department of Chemistry,Academic District,Academic,5.6528,-0.1853,chemistry-dept
9,Department of Home Science,Academic District,Academic,5.6527,-0.1845,home-science
10,Department of Political Science,Academic District,Academic,5.6547,-0.1864,political-science
11,Department of Psychology,Academic District,Academic,5.6551,-0.1866,psychology
12,Department of Information Studies,Academic District,Academic,5.6552,-0.1871,info-studies
13,Department of Animal Biology,Academic District,Academic,5.6534,-0.1875,animal-biology
14,Department of Marine and Fisheries Sciences,Academic District,Academic,5.6537,-0.1884,marine-&-fisheries
15,Department of Educational Studies and Leadership (DESL),Academic District,Academic,5.6528,-0.1812,education-dept
16,Department of Teacher Education,Academic District,Academic,5.6526,-0.181,teacher-education
17,International Programmes office,Academic District,Academic,5.6536,-0.1819,inter-prog-office
18,JQB Lecture Hall,Academic District,Academic,5.6523,-0.1819,jqb
19,Institute of Africa Studies,Academic District,Academic,5.6511,-0.1819,africa-studies
20,Department of Adult Education,Academic District,Academic,5.6515,-0.1811,adult-edu
21,Department of Archaeology,Academic District,Academic,5.6518,-0.1813,archaeology
22,School of Continuing and Distance Education,Academic District,Academic,5.6508,-0.1811,cont-&-dist-school
23,Department of Geology,Academic District,Academic,5.6512,-0.1845,geology-dept
24,Centre for International Affairs,Academic District,Academic,5.6521,-0.1841,inter-affairs
25,Department of Physics,Academic District,Academic,5.6512,-0.1856,physics-dept
26,Department of Plant and Environmental Biology,Academic District,Academic,5.6539,-0.1862,plant-&-envt-biology
27,School of Pharmacy,Academic District,Academic,5.6538,-0.1893,pharmacy-school
