restaurantId,name,locationId,category,contactNumber,avgPrepTimeMin,popularityScore,isOpen
1,Auntie Muni's Kitchen,96,Local,201110001,20,4.6,1
2,Night Market Grill House,96,Fast Food,201110002,15,4.3,1
3,Bush Canteen Chop Bar,97,Local,201110003,18,4.5,1
4,Continental Bites,97,Continental,201110004,25,4.0,1
5,Central Cafeteria Diner,90,Local,201110005,12,4.1,1
6,Legon Waakye Spot,96,Local,201110006,10,4.7,1
7,Campus Pizza Corner,97,Fast Food,201110007,22,3.9,1
8,Sarbah Fried Rice Joint,90,Local,201110008,14,4.2,1
9,Banking Square Smoothies,93,Snack,201110009,8,3.8,1
10,Jollof Junction,96,Local,201110010,17,4.8,1
11,Akuafo Hall Chop Bar,97,Local,201110011,16,4.4,1
12,Volta Hall Canteen,90,Local,201110012,14,4.3,1
13,Legon Shawarma Spot,96,Fast Food,201110013,12,4.5,1
14,Commonwealth Bites,97,Fast Food,201110014,20,4.0,1
15,Sarbah Breakfast Corner,90,Local,201110015,10,4.6,1
16,The Legon Grill,96,Continental,201110016,28,4.2,1
17,Night Market Suya Stand,96,Local,201110017,8,4.9,1
18,Campus Noodle House,97,Asian,201110018,18,4.1,1
19,Cocoa House Cafe,93,Snack,201110019,7,3.9,1
20,Pent Market Eatery,90,Local,201110020,15,4.3,1
21,Jubilee Hall Kitchen,97,Local,201110021,20,4.5,1
22,JQB Snack Bar,90,Snack,201110022,5,3.7,1
23,Republic Hall Diner,97,Local,201110023,18,4.2,1
24,Legon Fresh Juice Bar,96,Snack,201110024,6,4.6,1
25,UG Sandwich Station,90,Fast Food,201110025,10,4.0,1
