roadId,fromLocationId,toLocationId,fromName,toName,distanceKm,travelTimeMin,trafficLevel,roadCondition,roadConditionWeight,isOneWay,weight
1,1,13,Balme Library,Department of Animal Biology,0.237,1.42,MEDIUM,FAIR,1.15,false,0.3271
2,1,25,Balme Library,Department of Physics,0.243,1.46,MEDIUM,GOOD,1.0,false,0.2916
3,1,40,Balme Library,Department Of Economics,0.136,1.02,HIGH,FAIR,1.15,false,0.2346
4,1,58,Balme Library,Department for the Study of Religions - Research Institute,0.211,1.27,MEDIUM,FAIR,1.15,false,0.2912
5,1,59,Balme Library,Department Of Philosophy and Classics - Research Institute,0.189,0.95,LOW,GOOD,1.0,false,0.189
6,1,60,Balme Library,Economic Policy Management Programme Office - Research Institute,0.146,0.73,LOW,POOR,1.35,false,0.1971
7,1,95,Balme Library,Ghana Korea Information Access Centre,0.092,0.46,LOW,GOOD,1.0,false,0.092
8,2,41,Great Hall,Research and Innovation Office Complex,0.587,3.52,MEDIUM,GOOD,1.0,true,0.7044
9,2,46,Great Hall,Sociology Department,0.993,5.96,MEDIUM,GOOD,1.0,false,1.1916
10,2,47,Great Hall,School of Graduate studies,0.834,4.17,LOW,GOOD,1.0,false,0.834
11,2,50,Great Hall,Merian Institute for Advanced Studies in Africa (MIASA) - Research institute,0.828,4.14,LOW,GOOD,1.0,false,0.828
12,2,68,Great Hall,Commonwealth Hall,0.476,3.57,HIGH,FAIR,1.15,false,0.8211
13,2,69,Great Hall,Volta Hall,0.907,4.54,LOW,GOOD,1.0,false,0.907
14,3,7,College of Humanities,School of Law,0.15,0.9,MEDIUM,GOOD,1.0,false,0.18
15,3,15,College of Humanities,Department of Educational Studies and Leadership (DESL),0.192,0.96,LOW,GOOD,1.0,false,0.192
16,3,16,College of Humanities,Department of Teacher Education,0.236,1.42,MEDIUM,FAIR,1.15,false,0.3257
17,3,17,College of Humanities,International Programmes office,0.043,0.26,MEDIUM,GOOD,1.0,false,0.0516
18,3,18,College of Humanities,JQB Lecture Hall,0.217,1.3,MEDIUM,POOR,1.35,false,0.3515
